Date : 2024-06-30 11:10:30
Directory : c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite
Total : 88 files,  14676 codes, 299 comments, 646 blanks, all 15621 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\README.md                                                                    | Markdown       |         16 |          0 |          7 |         23 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\index.html                                                                   | HTML           |         13 |          0 |          1 |         14 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\package-lock.json                                                            | JSON           |      6,271 |          0 |          1 |      6,272 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\package.json                                                                 | JSON           |         45 |          0 |          1 |         46 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\postcss.config.js                                                            | JavaScript     |          6 |          0 |          1 |          7 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\App.jsx                                                                  | JavaScript JSX |         81 |         62 |          5 |        148 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CardItem.jsx                                                  | JavaScript JSX |        100 |          0 |          8 |        108 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CardItemId.jsx                                                | JavaScript JSX |        113 |          0 |          9 |        122 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CartContainer.jsx                                             | JavaScript JSX |        110 |          0 |          8 |        118 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CartItem.jsx                                                  | JavaScript JSX |        138 |          2 |         12 |        152 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Comment.jsx                                                   | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Header.jsx                                                    | JavaScript JSX |        168 |          0 |         12 |        180 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Input.jsx                                                     | JavaScript JSX |         47 |          2 |          8 |         57 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\SearchResults.jsx                                             | JavaScript JSX |         60 |          0 |          7 |         67 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\SideBarHeader.jsx                                             | JavaScript JSX |         82 |          0 |          9 |         91 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\TopSection.jsx                                                | JavaScript JSX |         21 |          0 |          4 |         25 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\index.css                                                                | CSS            |         60 |          1 |         16 |         77 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\main.jsx                                                                 | JavaScript JSX |         11 |          7 |          2 |         20 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\About\About.jsx                                                    | JavaScript JSX |         19 |          0 |          4 |         23 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\About\sections\section2.jsx                                        | JavaScript JSX |         55 |          0 |          4 |         59 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\Admin.jsx                                                    | JavaScript JSX |         27 |          0 |          4 |         31 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\AddProduct.jsx            | JavaScript JSX |        201 |          2 |          8 |        211 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\ChartMonthlyRevenues.jsx  | JavaScript JSX |         76 |          0 |          8 |         84 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\DropzoneHandler.jsx       | JavaScript JSX |         22 |        113 |          2 |        137 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\MaterialHandler.jsx       | JavaScript JSX |         63 |          0 |          6 |         69 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\SearchHandler.jsx         | JavaScript JSX |         72 |          0 |          7 |         79 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\SpecificationsHandler.jsx | JavaScript JSX |         75 |          2 |          6 |         83 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\TagHandler.jsx            | JavaScript JSX |         57 |          0 |          5 |         62 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\TopProducts.jsx           | JavaScript JSX |         68 |          0 |          8 |         76 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\UpdateProduct.jsx         | JavaScript JSX |        226 |          4 |         10 |        240 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\UploadData.jsx            | JavaScript JSX |        111 |          2 |         15 |        128 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\Dashboard.jsx                                | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\HandleProducts.jsx                           | JavaScript JSX |         11 |          0 |          3 |         14 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\SideBar.jsx                                  | JavaScript JSX |         65 |          0 |          4 |         69 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\CheckoutPage\CheckoutPage.jsx                                      | JavaScript JSX |        224 |          0 |         15 |        239 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\ErrorFallback\ErrorFallback.jsx                                    | JavaScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\LandingPage.jsx                                        | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\Section1.jsx                                  | JavaScript JSX |        100 |          0 |          7 |        107 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\Section2.jsx                                  | JavaScript JSX |         79 |          0 |          8 |         87 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\data_for_section1.jsx                         | JavaScript JSX |         21 |          0 |          1 |         22 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Login\Login.jsx                                                    | JavaScript JSX |        147 |          0 |          9 |        156 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\PaymentStatus\SuccessfulPayment.jsx                                | JavaScript JSX |         66 |          0 |          6 |         72 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\ProductPage.jsx                                            | JavaScript JSX |         55 |          0 |          7 |         62 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ProductDetails.jsx                                | JavaScript JSX |        200 |          0 |         12 |        212 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ReviewsComponent.jsx                              | JavaScript JSX |        121 |          0 |         15 |        136 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section2.jsx                                      | JavaScript JSX |         46 |          0 |          4 |         50 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section3.jsx                                      | JavaScript JSX |         44 |          0 |          6 |         50 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section4.jsx                                      | JavaScript JSX |         81 |          0 |          6 |         87 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\CheckOrder.jsx                                             | JavaScript JSX |         97 |          0 |          9 |        106 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\Profile.jsx                                                | JavaScript JSX |         90 |          0 |          5 |         95 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\ChangePersonalDetails.jsx                         | JavaScript JSX |         56 |          0 |          3 |         59 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\CheckOrders.jsx                                   | JavaScript JSX |        106 |          0 |         11 |        117 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\Comments.jsx                                      | JavaScript JSX |         78 |          0 |          8 |         86 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\SelectStatus\SelectStatus.jsx                     | JavaScript JSX |         62 |          0 |          8 |         70 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\SelectStatus\data.jsx                             | JavaScript JSX |        103 |          0 |          6 |        109 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\VerifyEmailPanel.jsx                              | JavaScript JSX |         79 |          0 |          7 |         86 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Register\Register.jsx                                              | JavaScript JSX |        145 |          0 |          7 |        152 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\useAdminAccess.jsx                                                 | JavaScript JSX |         36 |          1 |          9 |         46 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\verifyJWT.jsx                                                      | JavaScript JSX |         34 |          4 |          7 |         45 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\verifyUser.jsx                                                     | JavaScript JSX |         41 |          0 |          8 |         49 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\tailwind.config.js                                                           | JavaScript     |         15 |          1 |          1 |         17 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\vite.config.js                                                               | JavaScript     |          8 |          1 |          2 |         11 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\README.md                                                                    | Markdown       |         36 |          0 |         18 |         54 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\app.js                                                                       | JavaScript     |         42 |         11 |         15 |         68 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\config\database.js                                                           | JavaScript     |         10 |          0 |          3 |         13 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\config\passport.js                                                           | JavaScript     |         33 |          1 |          4 |         38 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\generateKeypair.js                                                           | JavaScript     |         18 |          9 |          6 |         33 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\algoliaSearch.js                                                         | JavaScript     |         41 |          0 |          5 |         46 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\authMiddleware.cjs                                                       | JavaScript     |          8 |          0 |          2 |         10 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\email.js                                                                 | JavaScript     |        114 |          9 |         16 |        139 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\utils.js                                                                 | JavaScript     |         41 |         25 |         12 |         78 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\comments.js                                                           | JavaScript     |         24 |          0 |          4 |         28 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\orders.js                                                             | JavaScript     |         60 |          0 |          6 |         66 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\products.js                                                           | JavaScript     |         53 |          2 |          4 |         59 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\user.js                                                               | JavaScript     |         67 |          4 |          6 |         77 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\package-lock.json                                                            | JSON           |      1,993 |          0 |          1 |      1,994 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\package.json                                                                 | JSON           |         28 |          0 |          1 |         29 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\products_example\ThirdEcommerceWebsite.products.json                         | JSON           |        413 |          0 |          0 |        413 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\admin.js                                                              | JavaScript     |        166 |          4 |         19 |        189 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\fetch_apis.js                                                         | JavaScript     |        401 |         25 |         62 |        488 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\handleComments.js                                                     | JavaScript     |        222 |          0 |         28 |        250 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\index.js                                                              | JavaScript     |         12 |          1 |          5 |         18 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\stripe_api.cjs                                                        | JavaScript     |        130 |          1 |         13 |        144 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\users.js                                                              | JavaScript     |         54 |          3 |         11 |         68 |
| Total                                                                                                                                                            |                |     14,676 |        299 |        646 |     15,621 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
